RICE HARVEST PRICE ,PADDY HARVEST PRICE ,WHEAT HARVEST PRICE ,SORGHUM HARVEST PRICE ,PEARL MILLET HARVEST PRICE ,MAIZE HARVEST PRICE,FINGER MILLET HARVEST PRICE ,BARLEY HARVEST PRICE ,CHICKPEA HARVEST PRICE ,PIGEONPEA HARVEST PRICE ,GROUNDNUT HARVEST PRICE ,SEASMUM HARVEST PRICE ,RAPE AND MUSTARD HARVEST PRICE ,CASTOR HARVEST PRICE ,SUGARCANE GUR HARVEST PRICE ,COTTON KAPAS HARVEST PRICE 
190.5,-1,-1,-1,-1,76.9,-1,-1,-1,-1,-1,-1,138.2,-1,243.4,-1
141.5,70.4,-1,-1,-1,69.3,-1,-1,-1,-1,-1,-1,330.5,-1,277,-1
147.7,73.8,-1,-1,-1,65.5,-1,-1,-1,-1,-1,-1,275.1,-1,221,-1
133.3,71.3,125.7,67.5,-1,67.7,-1,-1,242.2,-1,-1,285.5,267.9,-1,145.2,-1
-1,92.7,170,89.3,-1,71.3,-1,-1,216.9,-1,-1,314,356.1,-1,274.1,-1
176.8,93.8,177.9,100.4,-1,92.9,112.5,-1,303.1,-1,-1,383.5,458.1,-1,429.1,-1
-1,111.4,200,122.2,-1,97.5,108.9,-1,287.5,-1,-1,421.4,411.2,-1,390.9,-1
240,124.9,252.5,145.8,-1,106.8,124.2,-1,200,-1,-1,430.6,386.4,-1,363.4,-1
322.1,-1,293,126.3,-1,114.7,124.5,-1,426.7,-1,-1,521.2,545.8,-1,402.6,-1
248.2,-1,245.3,98.5,-1,104.4,198,-1,479.2,-1,-1,544.1,437,-1,489.8,-1
251.1,-1,226.5,130,-1,123.4,135.3,-1,505,-1,-1,526.2,369.9,-1,495.3,-1
261.8,-1,251.4,126.2,-1,120,135.5,-1,450.7,-1,-1,754.1,568.1,-1,545.4,-1
290.9,-1,262.3,121.5,-1,158.6,170.6,-1,521.7,-1,-1,774.2,635.2,-1,529.5,-1
351.1,-1,325.4,148.1,-1,150.6,182.1,-1,708.9,-1,-1,639.5,544.3,-1,522,-1
369.5,177.8,326,151.1,-1,154.2,-1,-1,780.6,-1,-1,793.6,612.9,-1,660.4,-1
374,189,342,225,-1,167,-1,-1,830,-1,-1,881,949,-1,639,-1
441,235,459,333,-1,265,368,-1,1023,-1,-1,1091,1032,-1,685,-1
