RICE HARVEST PRICE ,PADDY HARVEST PRICE ,WHEAT HARVEST PRICE ,SORGHUM HARVEST PRICE ,PEARL MILLET HARVEST PRICE ,MAIZE HARVEST PRICE,FINGER MILLET HARVEST PRICE ,BARLEY HARVEST PRICE ,CHICKPEA HARVEST PRICE ,PIGEONPEA HARVEST PRICE ,GROUNDNUT HARVEST PRICE ,SEASMUM HARVEST PRICE ,RAPE AND MUSTARD HARVEST PRICE ,CASTOR HARVEST PRICE ,SUGARCANE GUR HARVEST PRICE ,COTTON KAPAS HARVEST PRICE 
787,749,477,477,387,350,464,342,916,1434,1267,2644,1237,-1,826,1894
941,-1,594,434,-1,433,-1,-1,1129,1220,1019,1775,-1,-1,783,-1
839,418,563,473,336,404,559,430,1051,1438,1091,3413,1246,1034,1206,2123
-1,-1,591,466,-1,406,-1,-1,964,1700,1052,2667,-1,-1,1009,4667
-1,748,637,542,-1,458,-1,-1,1137,1553,1170,2080,-1,-1,930,-1
-1,650,639,-1,-1,492,-1,-1,1448,1442,1317,2500,-1,-1,935,-1
-1,-1,645,415,-1,398,-1,-1,1371,1415,1125,1688,-1,-1,1141,-1
-1,-1,658,475,-1,425,-1,-1,1431,1489,1323,2289,-1,-1,998,2500
-1,-1,683,479,-1,390,-1,-1,1344,1581,1553,3020,-1,-1,1056,-1
1036,-1,670,488,-1,-1,-1,-1,1324,-1,1826,2799,-1,-1,1416,-1
1047,-1,792,521,-1,473,-1,-1,1628,-1,1179,3403,1638,-1,1473,-1
1128,-1,986,-1,-1,646,-1,-1,1853,2025,1495,3150,-1,-1,1282,-1
1200,-1,1117,786,-1,578,-1,-1,2059,2386,-1,-1,-1,-1,941,-1
1721,-1,1155,797,-1,759,-1,-1,2135,2906,1861,4821,-1,-1,1766,-1
1676,-1,1209,839,-1,865,-1,-1,1914,3223,2203,7454,-1,-1,2967,-1
1730,2000,1277,1100,-1,888,-1,-1,1931,3994,2643,4900,-1,-1,2590,-1
1737,1050,1229,1015,-1,868,-1,-1,3030,3466,2365,5450,-1,-1,2408,-1
1594,1616,1469,1296,-1,1165,-1,-1,3095,3913,3099,4300,-1,-1,2986,4000
2328,1970,1577,1721,-1,1335,-1,-1,2725,3135,4061,11875,-1,-1,3067,-1
2557,-1,1384,1697,-1,1097,-1,-1,3184,4382,3991,7654,-1,-1,2933,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4947,-1,-1,-1,-1,-1
3124,1672.67,1850,2530,-1,1420,-1,-1,3890,5285,4020,-1,-1,-1,3110,-1
-1,-1,-1,47.6,-1,54.9,-1,-1,-1,-1,114.6,183.3,-1,-1,115.7,142.7
-1,-1,85.1,48.1,-1,55.3,-1,-1,-1,-1,90,152.2,-1,-1,224.6,137.6
-1,-1,84.3,51.2,-1,47.3,-1,-1,-1,-1,95.1,142.1,-1,-1,162.2,127.3
-1,-1,93.1,66.8,-1,60.3,-1,-1,-1,-1,113,183.1,-1,-1,89.6,170.3
-1,-1,79.2,65.9,-1,44.6,-1,-1,-1,-1,132.7,212.7,-1,-1,83,244.6
-1,-1,83,71.1,-1,45.1,-1,-1,-1,-1,125,200.4,-1,-1,125.7,169.3
-1,-1,86.6,67.6,-1,69.6,-1,-1,-1,-1,165.9,251.6,-1,-1,198.8,184
-1,-1,151,132.8,-1,103.8,-1,-1,-1,-1,217.5,331.6,-1,-1,198.9,256.1
-1,-1,155.8,126.6,-1,136.3,-1,-1,-1,-1,217,365.4,-1,-1,210.6,250.7
-1,-1,109.8,85.7,-1,61.9,-1,-1,-1,-1,142.8,276.7,-1,-1,142.8,199.8
-1,-1,128.9,88.6,-1,67.7,-1,-1,-1,-1,193.9,370.7,-1,-1,210.2,411.3
-1,-1,128.2,96.7,-1,86.3,-1,-1,-1,-1,221.2,378,-1,-1,166.8,332.7
-1,-1,117.8,86.9,-1,85.9,-1,-1,-1,-1,210.9,344,-1,-1,95.9,253.1
-1,-1,159.9,108.7,-1,109.3,-1,-1,210.6,241.5,273.6,387.9,389,-1,263.7,252.6
-1,96.3,188.2,113.8,-1,98.3,-1,-1,324.3,271.5,328.7,471.2,-1,-1,397.8,411
150,103,174.4,124.5,-1,117.9,-1,-1,221.5,288,375.2,525.8,-1,-1,329.5,470.2
-1,146.3,188.6,126.8,-1,126,-1,-1,208.3,318.8,325.9,538.2,-1,-1,228.1,390.3
190.7,-1,170.2,129.7,-1,108.9,-1,-1,289.5,373.9,415.2,660.1,-1,-1,301.8,545.3
266.9,-1,175.9,136,-1,103.8,-1,-1,400.4,351.3,425.1,678.8,-1,-1,327.1,508.3
271.5,-1,196.1,150.9,-1,168.3,-1,-1,369.9,337.4,372.8,710.3,-1,-1,420.6,429.3
312,-1,211.3,179.9,-1,146.6,-1,-1,331.6,519.5,551.6,1069,-1,-1,411.9,553.3
320.3,-1,236.2,148.3,-1,161.1,-1,-1,438.7,662.2,678.1,1188.8,-1,-1,413.1,707.6
356.3,-1,284.2,239.1,-1,155.8,-1,-1,587.4,489,-1,785.6,-1,-1,448.1,692.6
-1,431.9,279.1,206.7,-1,181.9,-1,-1,604.8,552,610.7,949.9,-1,-1,543.4,682.4
526,-1,271,262,-1,182,-1,-1,572,794,855,1165,-1,-1,572,1044
483,375,377,412,-1,323,-1,-1,630,1039,1158,1564,-1,-1,583,1379
567,341,297,282,-1,315,-1,-1,721,973,936,1511,-1,-1,623,975
501,302,388,333,-1,191,-1,-1,928,962,941,1514,-1,-1,1048,1242
665,401,417,516,-1,367,-1,-1,825,1198,1034,1790,-1,-1,990,2182
813,814,504,371,387,372,464,342,878,1474,1018,1887,1158,-1,844,1745
1006,-1,571,541,-1,557,-1,-1,1214,1646,1099,2122,-1,-1,836,1675
890,418,500,425,336,392,559,430,1007,1305,1151,2500,1151,1034,1107,2123
-1,500,573,701,-1,420,-1,-1,1023,1822,1449,2602,-1,-1,1113,-1
-1,633,625,939,-1,544,-1,-1,1612,1550,1350,2223,-1,-1,1094,-1
-1,-1,617,743,-1,531,-1,-1,1159,1550,1388,2363,-1,-1,1020,-1
-1,414,660,558,-1,441,-1,-1,1409,1619,1314,1879,-1,-1,1241,-1
-1,-1,710,639,-1,513,-1,-1,1481,1564,1609,2265,-1,-1,1152,-1
-1,-1,655,523,-1,482,-1,-1,1351,1632,1438,2727,-1,-1,1212,-1
830,-1,675,543,-1,470,-1,-1,1364,-1,1501,2799,-1,-1,1716,-1
1000,-1,856,838,-1,544,-1,-1,1845,-1,1459,2549,-1,-1,1779,-1
985,-1,887,1151,-1,620,-1,-1,2173,2025,1832,3066,-1,-1,1601,-1
1250,-1,1097,1166,-1,674,-1,-1,2044,2386,1789,-1,-1,-1,1182,-1
1800,-1,1126,1000,-1,689,-1,-1,2083,3115,2146,-1,-1,-1,2366,-1
-1,-1,1162,1118,-1,835,-1,-1,1991,4325,2600,-1,-1,-1,3532,-1
1800,-1,1201,1269,-1,873,-1,-1,2059,3883,2563,-1,-1,-1,3149,-1
-1,-1,1189,2032,-1,904,-1,-1,3417,3571,2850,-1,-1,-1,3226,-1
-1,-1,-1,2000,-1,1177,-1,-1,3200,3905,3722,5768,-1,-1,3433,-1
-1,-1,65.8,44.8,-1,50.8,-1,-1,60,99.6,114.7,-1,-1,-1,101.8,139
-1,-1,89.3,48.6,-1,57.5,-1,-1,74.5,95.9,92.3,-1,-1,-1,212.7,137.6
-1,-1,88.2,49.9,-1,47.2,-1,-1,80.8,85.9,82.5,-1,-1,-1,142.7,134.4
-1,-1,89.6,66.9,-1,59.4,-1,-1,89,90.7,107.6,-1,-1,-1,85.4,164.3
-1,-1,82.4,63.8,-1,49,-1,-1,71,89.7,124.3,-1,-1,-1,79.8,239.7
-1,-1,86.9,69.5,-1,54.9,-1,-1,81,99.9,111.8,-1,-1,-1,117.5,170.6
-1,-1,89.7,65.3,-1,69.1,-1,-1,134.9,153.3,155.2,-1,-1,-1,193.7,181.9
-1,-1,144.6,129.5,-1,121.3,-1,-1,181.4,158.4,207.2,-1,-1,-1,192.1,249.7
-1,-1,156.7,121.8,-1,141.3,-1,-1,166.9,190.2,223.3,-1,-1,-1,198.4,250.5
-1,-1,106.3,84.3,-1,65.4,-1,-1,105.5,116.1,133.6,-1,-1,-1,152.2,208
-1,-1,128.3,89.9,-1,71.6,-1,-1,122.6,216.7,178.9,-1,-1,-1,191.3,390.5
-1,-1,135.1,93.3,-1,-1,-1,-1,182.4,266.2,203.1,-1,-1,-1,153.4,317.4
-1,-1,-1,-1,-1,-1,-1,-1,177,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,122,-1,-1,-1,-1,-1,-1,353.5,-1,-1,-1,-1,-1
188.2,110,164.8,119.5,119.6,-1,-1,-1,-1,289.3,337.8,-1,-1,-1,322.6,454.7
244,-1,196.6,126.2,133.4,-1,-1,-1,206.6,300,307,-1,-1,-1,235.4,381.2
300.8,-1,174.9,121.2,-1,110.3,-1,-1,290.6,350.8,358.7,-1,-1,-1,274.5,458.3
334.4,-1,167.5,133.3,-1,99,-1,-1,411.7,320.7,383.5,-1,-1,-1,327.3,-1
240,-1,200.1,147.2,-1,142.2,-1,-1,373.9,350.9,380.4,-1,-1,-1,416.2,413.9
350,-1,200.1,177.7,-1,143.7,-1,-1,337.3,491.3,529.7,-1,-1,-1,406.1,451.6
187.2,-1,237.1,141.1,-1,165.7,-1,-1,416.7,688.4,570.1,-1,-1,-1,421.6,687.9
185,-1,271.6,200.7,-1,144.2,-1,-1,546.5,-1,484.9,-1,-1,-1,452.5,626.9
199.2,-1,613.9,167,-1,256.4,-1,555.9,592.7,-1,544.9,-1,-1,-1,-1,654.3
207,-1,269,215,-1,160,-1,-1,568,762,778,-1,-1,-1,530,671
500,265,403,400,-1,295,-1,-1,581,899,1113,1618,-1,-1,481,1348
-1,-1,339,244,-1,283,-1,-1,685,858,789,-1,-1,-1,647,929
-1,-1,300,288,-1,220,-1,-1,935,941,909,-1,-1,-1,1042,1203
-1,-1,418,481,-1,371,-1,-1,805,1254,985,-1,-1,-1,991,2240
900,900,486,413,387,366,464,342,886,1507,1149,2039,1071,-1,904,1760
931,-1,588,512,-1,490,-1,-1,1170,1489,1184,1775,-1,-1,946,1400
500,418,519,485,336,378,559,430,974,1561,1074,1527,1311,1034,1300,2123
-1,-1,606,636,-1,415,-1,-1,954,1820,1553,-1,-1,-1,1220,-1
-1,-1,634,736,-1,584,-1,-1,1187,1556,1451,-1,-1,-1,1100,-1
-1,-1,671,646,-1,403,-1,-1,1603,1673,1353,-1,-1,-1,1085,-1
-1,-1,679,548,-1,395,-1,-1,1453,1782,1234,-1,-1,-1,1201,-1
-1,-1,788,524,-1,480,-1,-1,1496,1750,1326,-1,-1,-1,1080,1261
-1,-1,645,488,-1,458,-1,-1,1335,-1,1296,-1,-1,-1,1172,-1
-1,-1,719,508,-1,457,-1,594,1393,-1,1495,2799,1452,-1,1386,-1
-1,-1,1060,604,-1,481,-1,-1,1754,-1,1685,2549,-1,-1,1525,-1
-1,-1,933,-1,-1,700,-1,-1,2265,2025,1200,3328,-1,-1,1800,-1
1230,-1,1250,786,-1,790,-1,-1,2700,2386,2571,-1,-1,-1,1465,-1
1679,-1,1200,900,-1,765,-1,-1,2700,2990,-1,-1,-1,-1,1816,-1
1200,-1,1250,1036,-1,600,-1,-1,1900,3807,2000,-1,-1,-1,3500,-1
-1,905,1300,-1,-1,860,-1,-1,2500,-1,3500,-1,-1,-1,4068,-1
1530,-1,1240,1133,-1,860,-1,-1,3075,3725,3180,-1,-1,-1,2604,-1
-1,-1,1491,1372,-1,1330,-1,-1,3456,7000,4929,4929,-1,-1,3398,-1
-1,-1,1600,2000,-1,1638,-1,-1,3000,7000,6631,-1,-1,-1,3738,4020
3500,-1,1450,1900,-1,1852,-1,-1,3300,-1,5833,-1,-1,-1,3395,-1
-1,-1,1514,2000,-1,-1,-1,-1,4836,6667,3000,-1,-1,-1,3000,-1
-1,-1,1661,1936,-1,1351,-1,-1,5191,4736,3760,-1,-1,-1,3775,-1
-1,-1,-1,50,-1,-1,-1,-1,58.9,94.7,-1,184.9,-1,128.7,-1,159.5
-1,-1,90.4,53.1,-1,-1,-1,-1,82.9,103.6,-1,159.5,-1,90.4,-1,152.8
-1,-1,80.7,52.7,-1,-1,-1,-1,77.5,76.1,-1,159.3,-1,70,-1,156.3
-1,-1,90.6,68.2,-1,-1,-1,-1,94.8,87.4,-1,185,-1,93.7,-1,202.5
-1,-1,81.9,68.5,-1,-1,-1,-1,75.7,84.7,-1,211.7,-1,105.2,-1,278.1
-1,-1,83.2,72.1,-1,-1,-1,-1,83,105,-1,216.3,-1,105.9,-1,209
-1,-1,110.6,72.1,-1,-1,-1,-1,131,159.2,-1,279.6,-1,154.7,-1,234.1
-1,-1,154.4,129,-1,-1,-1,-1,188.6,151.6,-1,329.6,-1,194.9,-1,288.2
-1,-1,162.8,143,-1,-1,-1,-1,168.2,169.5,-1,389,-1,152.3,-1,326.8
-1,-1,107.2,91.1,-1,-1,-1,-1,111.7,140.7,-1,302.6,-1,114.8,-1,275.7
-1,-1,144.4,102.7,-1,-1,-1,-1,134.9,229.6,-1,369.9,-1,230.8,-1,509.5
-1,-1,143.9,102.9,-1,-1,-1,-1,181.8,262.1,-1,404.6,-1,189.5,-1,388.3
171.4,-1,138.7,107.9,-1,-1,-1,-1,178.7,251.5,-1,372.2,-1,-1,-1,376
192.2,-1,156,111.3,-1,-1,-1,-1,199.2,258,-1,440.7,-1,-1,-1,344.4
-1,-1,195.5,130.2,-1,-1,-1,-1,318,275.6,-1,492,-1,-1,-1,460
204.8,-1,186.9,120.2,-1,-1,-1,-1,235.6,-1,-1,526.8,-1,-1,-1,536.1
242.3,-1,205.3,137.9,-1,-1,-1,-1,220.4,318.3,-1,592.3,-1,-1,-1,443.5
243.3,-1,191.1,146,-1,-1,-1,-1,289,411,-1,687.1,-1,-1,-1,649.3
346.7,-1,163.4,122.4,-1,-1,-1,-1,413.6,321.9,-1,685.1,-1,-1,-1,600.4
287,-1,215.1,137.4,-1,-1,-1,-1,395.7,346.7,-1,666.7,-1,-1,-1,504.6
316.6,-1,202.4,179.6,-1,-1,-1,-1,323.9,-1,-1,957,-1,-1,-1,615.6
302.3,-1,228.4,152.7,-1,-1,-1,-1,423.1,758.2,-1,1172.9,-1,-1,-1,949.5
363,-1,262,244.2,-1,-1,-1,-1,579.9,457.8,-1,812.8,-1,-1,-1,524.9
-1,-1,215.8,204.4,-1,-1,150,-1,601.3,-1,-1,1008.3,-1,-1,-1,788.5
-1,-1,266,233,-1,-1,-1,-1,565,-1,-1,1362,-1,-1,-1,1036
-1,-1,376,401,-1,-1,-1,-1,569,895,-1,1537,-1,-1,-1,1372
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,377,740,-1,-1,-1,-1,778,1081,-1,2219,-1,-1,-1,2593
794,438,455,465,387,303,464,342,937,1799,1311,2821,1390,-1,828,2074
1025,-1,585,486,-1,463,-1,-1,1140,1414,-1,2325,-1,-1,-1,1825
1172,418,588,447,336,407,559,430,1009,1538,1196,2606,1330,1034,1160,2123
-1,613,610,636,-1,-1,-1,-1,975,1713,-1,2448,-1,-1,-1,2115
-1,975,610,744,-1,-1,-1,-1,1139,1293,-1,3374,-1,-1,-1,-1
-1,-1,580,755,-1,-1,-1,-1,1537,1300,-1,2000,-1,-1,-1,-1
-1,-1,632,706,-1,-1,-1,-1,1390,1350,-1,2000,-1,-1,-1,-1
-1,-1,643,717,-1,-1,-1,-1,1411,-1,-1,3100,-1,-1,-1,-1
-1,-1,635,-1,-1,-1,-1,-1,1392,1400,-1,3200,-1,-1,-1,-1
1379,-1,637,574,-1,516,-1,-1,1315,-1,-1,2874,2241,-1,1409,-1
1397,-1,831,690,-1,-1,-1,-1,1798,-1,-1,3190,2514,-1,1486,-1
1355,-1,931,883,-1,-1,-1,-1,2096,2025,-1,3328,-1,-1,1400,-1
1469,-1,1080,806,-1,-1,-1,-1,2368,2386,-1,3563,-1,-1,1238,2497
1738,-1,1114,1164,-1,-1,-1,-1,1927,3153,-1,4431,-1,-1,1804,-1
1737,1299,1256,1457,-1,-1,-1,-1,1949,5101,-1,6147,-1,-1,3088,-1
1738,-1,1224,1387,-1,-1,2000,-1,2206,3505,-1,5405,-1,-1,-1,-1
1991,1738,1325,1545,-1,-1,2200,-1,3283,3310,-1,6061,-1,-1,-1,-1
1646,1882,1497,1667,-1,-1,-1,-1,3546,4253,-1,7962,-1,-1,-1,4200
1953,2517,1565,2300,-1,-1,-1,-1,2407,4186,-1,10000,-1,-1,-1,-1
2638,1384,1464,1950,-1,-1,-1,-1,3703,-1,-1,10926,-1,-1,-1,-1
2795,1912,1614,2483,-1,-1,-1,-1,5482,-1,-1,13543,-1,-1,-1,-1
2296,1682,1818,-1,-1,-1,-1,-1,6333,-1,-1,7187.5,-1,-1,-1,-1
-1,47.6,-1,-1,64.5,-1,58.8,-1,-1,81.8,98.7,168.1,-1,-1,89.6,-1
-1,57.7,102.4,-1,60.5,-1,65.2,-1,-1,107.1,73.9,107.3,-1,-1,-1,-1
-1,62.7,90,-1,58.5,-1,51.8,-1,-1,105.2,91.8,-1,-1,-1,77.1,-1
-1,55.6,-1,-1,43.1,-1,53.1,-1,-1,64.2,104.5,113.5,-1,-1,68.1,-1
-1,53.8,-1,-1,68.3,-1,54.6,-1,-1,90.5,106.7,166,-1,-1,81.7,-1
-1,59.9,-1,-1,76.7,-1,60.2,-1,-1,120.3,112.1,190.2,-1,-1,119,-1
-1,88.9,-1,-1,58,-1,85.6,-1,-1,167.7,140.3,246.3,-1,-1,137.8,-1
-1,83.6,120.7,-1,68.4,-1,80.2,-1,-1,-1,188.9,314.6,-1,-1,122.2,-1
-1,120.8,132.2,-1,89,-1,115,-1,-1,178,212,322.5,-1,-1,134,-1
-1,86,-1,-1,83,-1,73.5,-1,-1,139,152,288,-1,-1,131,-1
-1,82,-1,-1,79,-1,81.8,-1,-1,144,200,334.2,-1,-1,133.5,-1
-1,92,-1,-1,82,-1,81.6,-1,-1,-1,191,289,-1,-1,109,-1
-1,78.7,-1,-1,76.1,-1,80.8,-1,-1,-1,187.5,266.3,-1,-1,99.9,-1
-1,81.9,-1,-1,-1,-1,87.3,-1,-1,-1,217.5,343.8,-1,-1,221.5,-1
-1,92.7,-1,89.5,89.5,-1,88,-1,-1,-1,342.7,356.7,-1,-1,253.1,-1
-1,114,-1,100,100,-1,94.4,-1,-1,-1,340.3,495.6,-1,-1,169.3,-1
-1,130.1,-1,-1,101.7,-1,108,-1,-1,-1,362.6,502.8,-1,-1,172.5,-1
-1,139.7,-1,145.6,104.7,-1,116.6,-1,-1,-1,377.4,522.2,-1,-1,182.1,-1
-1,140.3,-1,-1,102.5,-1,133.5,-1,-1,-1,413.9,578.3,-1,-1,253.7,-1
-1,146.6,-1,-1,101.7,-1,138,-1,-1,-1,414.5,591.9,-1,-1,303.8,-1
-1,156.6,-1,-1,110,-1,143.2,-1,-1,-1,414.4,604.7,-1,-1,311.3,-1
-1,190.2,-1,-1,148.3,-1,148.8,-1,-1,-1,462.6,717.5,-1,-1,345.6,-1
-1,198.1,-1,-1,208.4,-1,206.6,-1,-1,-1,466.7,720.6,-1,-1,396.9,-1
-1,199.7,-1,-1,202.4,-1,211,-1,-1,-1,507.5,755.3,-1,-1,435,-1
-1,202,-1,-1,214,-1,-1,-1,-1,-1,605,-1,-1,-1,-1,-1
-1,254,-1,-1,253,-1,226,-1,-1,737,769,925,-1,-1,351,-1
-1,280,-1,-1,274,-1,250,-1,-1,-1,604,962,-1,-1,550,-1
-1,328,-1,-1,274,-1,270,-1,-1,-1,807,949,-1,-1,707,-1
-1,375,-1,-1,271,-1,274,-1,-1,-1,729,1056,-1,-1,630,-1
-1,362,-1,-1,-1,-1,-1,-1,-1,1282,814,-1,-1,-1,702,-1
-1,406,-1,499,378,393,345,-1,1203,1325,1080,1257,-1,1022,764,-1
-1,437,-1,501,381,405,403,-1,1648,1539,1075,1338,-1,1072,1020,1934
-1,475,-1,498,374,456,412,-1,-1,1517,1027,1668,-1,-1,1007,1901
-1,523,-1,607,383,439,430,-1,-1,1468,1013,1578,-1,-1,947,1814
-1,512,-1,462,376,386,423,-1,-1,1209,1026,1298,-1,-1,920,1888
-1,527,-1,481,400,499,441,-1,-1,1273,1135,1381,-1,-1,1088,1479
-1,542,-1,551,422,513,440,-1,-1,1366,1240,1576,-1,-1,918,1696
-1,527,-1,524,430,520,470,-1,-1,1279,1204,1647,-1,-1,988,2403
-1,564,-1,531,436,516,458,-1,1564,1349,1293,1832,-1,-1,1149,1764
-1,580,-1,565,519,536,480,-1,1785,1253,1238,1842,-1,-1,1209,1808
-1,603,-1,717,502,604,518,-1,2012,1979,1622,1761,-1,983,1206,1776
-1,702,-1,793,581,691,625,-1,2081,2081,1575,2528,-1,1825,1163,1854
-1,875,-1,860,684,791,788,-1,2164,3103,1986,3097,-1,2617,1856,2438
-1,988,-1,898,888,1114,1039,-1,2116,3702,2080,3706,-1,2371,2790,2567
-1,996,-1,1253,928,1160,1136,-1,-1,3284,2406,3483,-1,-1,2685,3179
-1,1047,-1,1180,1078,1106,1264,-1,-1,2772,2393,3993,-1,-1,2563,3810
-1,1214,-1,1887,832,1258,1466,-1,-1,4448,2503,5336,-1,-1,2968,3205
-1,1302,-1,-1,-1,1312,-1,-1,-1,3728,3666,6592,-1,-1,2458,3485
-1,1333,-1,-1,-1,1105,-1,-1,-1,-1,4261,6074,-1,-1,2721,3614
-1,1390,-1,-1,-1,1274,-1,-1,-1,-1,4815,5221,-1,-1,3352,3810
-1,1446,-1,-1,-1,1405,-1,-1,-1,-1,4945.5,5723,-1,-1,3890,4541
-1,61,-1,-1,-1,-1,58.8,-1,-1,-1,-1,145.6,-1,-1,-1,-1
-1,59.8,-1,-1,-1,-1,55.5,-1,-1,-1,-1,136.7,-1,-1,-1,-1
-1,62.9,-1,-1,-1,-1,67.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,60,-1,-1,-1,-1,47.7,-1,-1,-1,82,167,-1,-1,-1,-1
-1,52.2,-1,-1,-1,-1,55.5,-1,-1,-1,-1,181.1,-1,-1,-1,-1
-1,60.2,-1,-1,-1,-1,56.1,-1,-1,-1,-1,156,-1,-1,-1,-1
-1,79.2,-1,-1,-1,-1,64.7,-1,-1,-1,-1,212.3,-1,-1,-1,-1
-1,95.5,-1,89.2,88.7,-1,93.5,-1,-1,142.6,180.4,276.2,-1,-1,129,-1
-1,111.3,-1,132.8,105.5,-1,115.5,-1,-1,208,208,319,-1,-1,-1,-1
-1,92,-1,-1,77,-1,78,-1,-1,-1,125,259,-1,-1,160,-1
-1,99,-1,-1,83,-1,82,-1,-1,-1,181,274.5,-1,-1,142,-1
-1,84,-1,80,80,-1,80,-1,-1,-1,186,271,-1,-1,-1,-1
-1,81.2,-1,-1,78.2,-1,82.9,-1,-1,-1,197.8,278.6,-1,-1,92.5,-1
-1,86.3,-1,-1,81.1,-1,83.9,-1,-1,-1,196.6,305.8,-1,-1,197.7,-1
-1,87.6,-1,80.7,80.8,-1,84.3,-1,-1,-1,242.5,310.9,-1,-1,253.6,-1
-1,120,-1,98,98,-1,102.3,-1,-1,-1,255,390.2,-1,-1,217.3,-1
-1,133.6,-1,-1,105.9,-1,-1,-1,-1,-1,269.4,465.1,-1,-1,199.6,-1
-1,141.2,-1,145.6,120.8,-1,119.3,-1,-1,355.7,325,503.5,-1,-1,254.4,-1
-1,141.7,-1,-1,124.2,-1,126.2,-1,-1,-1,342.8,520.9,-1,-1,268.2,-1
-1,147.8,-1,126.4,126.4,-1,144,-1,-1,-1,368.9,585.2,-1,-1,365,-1
-1,181.8,-1,-1,155.5,-1,149.3,-1,-1,-1,389.5,694,-1,-1,340.3,-1
-1,190.1,-1,-1,164.6,-1,161.4,-1,-1,-1,530.8,840.8,-1,-1,342,-1
-1,202.5,-1,-1,182,-1,178.5,-1,-1,-1,403,696.5,-1,-1,359.5,-1
-1,189.5,-1,-1,172.2,-1,193.5,-1,-1,-1,441,886,-1,-1,376,-1
-1,200,-1,-1,191,-1,198,-1,-1,-1,610,984,-1,-1,376,-1
-1,262,-1,-1,230,-1,269,-1,-1,737,793,1149,-1,-1,363,-1
-1,284,-1,-1,288,-1,298,-1,-1,-1,624,1166,-1,-1,512,-1
-1,331,-1,-1,315,-1,322,-1,-1,-1,829,1204,-1,-1,667,-1
-1,363,-1,-1,340,-1,354,-1,-1,-1,880,1164,-1,-1,680,-1
-1,395,-1,-1,426,-1,423,-1,-1,1515,933,-1,-1,-1,700,-1
-1,425,-1,499,410,393,391,-1,1203,1325,1130,1244,-1,1022,755,-1
-1,447,-1,501,413,405,430,-1,1503,1539,1127,1338,-1,1018,1014,1934
-1,469,-1,498,467,456,428,-1,1164,1517,1252,1597,-1,1275,981,1901
-1,532,-1,607,554,439,441,-1,1458,1468,1335,1632,-1,-1,947,1815
-1,507,-1,462,431,386,444,-1,2243,1246,1121,1399,-1,963,920,1888
-1,542,-1,481,501,499,474,-1,1479,1273,1192,1391,-1,925,1041,1479
-1,596,-1,551,510,513,530,-1,1510,1366,1482,1803,-1,1386,952,1696
-1,525,-1,527,518,514,503,-1,1429,1279,1443,2099,-1,1431,884,2403
-1,549,-1,531,595,516,520,-1,1583,1351,1704,2232,-1,-1,1237,1648
-1,646,-1,565,529,518,518,-1,1919,1253,1290,1650,-1,1557,1446,1392
-1,621,-1,717,513,632,522,-1,2012,1979,1338,1658,-1,1648,1387,1757
-1,695,-1,793,904,699,697,-1,2081,2081,1652,2835,-1,1825,1018,1764
-1,944,-1,848,959,818,914,-1,2277,3103,2014,3076,-1,2617,2385,2439
-1,1016,-1,1039,1152,973,1133,-1,2116,3659,2909,3706,-1,2371,3201,2568
-1,1039,-1,1253,1430,1129,870,-1,2971,3284,3068,3928,-1,-1,1822,3364
-1,1072,-1,1180,1230,980,740,-1,3330,2772,3247,3854,-1,-1,2435,3644
-1,1278,-1,1887,1757,1577,1308,-1,3551,4448,2709,6830,-1,-1,2644,3212
-1,1396,-1,-1,1959,1362,1594,-1,-1,3500,2550,6281,-1,-1,2157,4086
-1,1374,-1,-1,2000,1412,1677,-1,-1,4090,3139,7582,-1,-1,2233,3432
-1,1380,-1,-1,2178,1259,1465,-1,-1,6257,3342,5958,-1,-1,2167,3649
-1,1742,-1,-1,2167,1256.5,1543,-1,-1,4178,3481,5968.5,-1,-1,2206,4867
68.4,45.5,-1,60.9,48.9,-1,52,-1,-1,72.9,-1,149.5,-1,-1,124.9,-1
68.3,55.8,-1,60.2,53,-1,50.8,-1,-1,102.7,-1,132.2,-1,-1,198.3,-1
101.4,54.2,-1,51,50.2,-1,45.9,-1,-1,73,-1,136.4,-1,-1,103.5,-1
77.9,53.2,-1,53.8,44.1,-1,48.2,-1,-1,88.8,-1,184.7,-1,-1,69.5,-1
90.2,56,-1,58.8,42.5,-1,44.7,-1,-1,92.6,-1,199.9,-1,-1,87.1,-1
-1,61.5,-1,66,61.2,-1,56.7,-1,-1,100.3,-1,155.1,-1,-1,-1,-1
-1,79.5,-1,95.9,69.5,-1,-1,-1,-1,124.5,105.3,236,-1,-1,123,-1
-1,84.7,-1,-1,78.8,-1,-1,-1,-1,141.3,174.3,288.7,-1,-1,130.4,-1
-1,104.1,-1,167.6,125.6,-1,-1,-1,-1,165,202.4,257.5,-1,-1,209.5,-1
-1,86.5,-1,93.9,71.7,-1,60.8,-1,-1,110.9,143,261.3,-1,-1,177.2,-1
